@relation train_80p100_38556_weather_only

@attribute weather_description {'overcast clouds',haze,'scattered clouds','sky is clear','broken clouds',mist,'moderate rain','Sky is Clear','light snow','heavy snow','proximity thunderstorm','few clouds','light rain','light intensity drizzle',fog,'heavy intensity rain',snow,drizzle,'proximity shower rain',thunderstorm,smoke,'thunderstorm with light rain','very heavy rain','heavy intensity drizzle','proximity thunderstorm with rain','thunderstorm with rain','shower drizzle','light shower snow','thunderstorm with heavy rain','thunderstorm with light drizzle','proximity thunderstorm with drizzle',SQUALLS,'light intensity shower rain','freezing rain','light rain and snow',sleet,'thunderstorm with drizzle'}
@attribute traffic_volume numeric

@data
'scattered clouds',5676
'overcast clouds',1428
'scattered clouds',4235
'scattered clouds',3262
'light snow',484
'sky is clear',3271
mist,664
mist,5666
'light rain',241
'few clouds',4505
'heavy snow',4725
'sky is clear',2686
mist,6517
'light rain',633
'sky is clear',5983
'broken clouds',1847
'sky is clear',703
'sky is clear',5705
'broken clouds',2949
'light rain',1475
drizzle,5214
'proximity thunderstorm',4330
'light snow',548
'few clouds',5798
'sky is clear',369
'light snow',5022
'scattered clouds',6685
'sky is clear',5053
'light rain',3060
'few clouds',6029
'broken clouds',4992
'scattered clouds',4359
mist,6386
'light rain',1307
'light snow',5898
mist,374
'scattered clouds',4746
'moderate rain',2554
haze,2822
'light rain',6054
'few clouds',5544
'moderate rain',5892
mist,1536
'sky is clear',303
'light snow',296
'light intensity drizzle',4302
'overcast clouds',3993
mist,387
'light intensity drizzle',4823
'overcast clouds',5066
'sky is clear',2367
mist,5670
haze,4158
'proximity thunderstorm',5918
mist,270
'sky is clear',5633
'overcast clouds',865
'overcast clouds',4677
'light rain',4759
'light intensity drizzle',4758
'few clouds',606
'light intensity drizzle',5388
'scattered clouds',3047
'scattered clouds',4941
mist,917
'sky is clear',3866
'sky is clear',4980
haze,3019
'scattered clouds',6171
mist,4304
mist,4724
mist,5301
'overcast clouds',4412
'heavy snow',632
'broken clouds',3465
'sky is clear',4998
'sky is clear',4723
'sky is clear',282
'moderate rain',4861
'sky is clear',733
'scattered clouds',493
'broken clouds',3884
mist,1770
mist,2415
mist,893
'light snow',3426
'broken clouds',270
'light intensity drizzle',6597
drizzle,6264
haze,312
'Sky is Clear',1230
fog,437
mist,4766
'sky is clear',436
'overcast clouds',654
mist,3260
'overcast clouds',687
fog,424
'overcast clouds',6614
'scattered clouds',5035
'scattered clouds',6266
mist,5214
'sky is clear',2846
'sky is clear',5710
mist,351
'moderate rain',5411
'Sky is Clear',3326
'proximity shower rain',6778
fog,1653
'sky is clear',851
'sky is clear',3682
'few clouds',5330
'broken clouds',4684
mist,973
'scattered clouds',5708
'light snow',1607
'light rain',4743
'light snow',4303
'broken clouds',6032
'sky is clear',722
'light rain',3333
'sky is clear',776
'overcast clouds',6348
'overcast clouds',5154
'light rain',2534
'overcast clouds',3231
'overcast clouds',5812
'overcast clouds',5599
mist,281
'overcast clouds',6069
'sky is clear',960
'sky is clear',2649
'light rain',5431
'heavy intensity rain',5228
mist,5789
'sky is clear',786
'sky is clear',438
'broken clouds',4093
fog,5804
'Sky is Clear',5377
'broken clouds',4592
'light snow',231
'light snow',5312
'light snow',5329
'sky is clear',2134
'light rain',5974
mist,422
haze,4030
'sky is clear',2867
'sky is clear',557
'scattered clouds',2886
'light snow',1621
mist,2599
'overcast clouds',444
'sky is clear',6593
'light snow',3239
'overcast clouds',4543
'broken clouds',4384
mist,1063
'overcast clouds',5497
mist,288
'sky is clear',1130
'proximity thunderstorm',387
'overcast clouds',4447
'light rain',377
'Sky is Clear',294
fog,2769
'few clouds',6736
'overcast clouds',3174
drizzle,799
'sky is clear',1356
'light rain',2751
'broken clouds',4887
mist,2419
'broken clouds',4638
'few clouds',6358
'sky is clear',4902
mist,3017
'broken clouds',6072
'broken clouds',5497
mist,3310
'light rain',2624
'sky is clear',4595
'sky is clear',2394
'few clouds',4692
'sky is clear',6262
'scattered clouds',486
'overcast clouds',5307
'scattered clouds',4615
'light rain',592
'overcast clouds',2943
'light snow',981
'light rain',2727
'sky is clear',5142
'light rain',4255
'light rain',395
'light intensity drizzle',4820
mist,811
mist,3450
'overcast clouds',5404
'sky is clear',424
'sky is clear',2424
'sky is clear',350
'broken clouds',3271
'broken clouds',4979
haze,4848
'sky is clear',6096
haze,2621
mist,10
'sky is clear',3209
'overcast clouds',3202
'scattered clouds',4985
'sky is clear',1842
mist,4986
'few clouds',4952
'broken clouds',548
'overcast clouds',5100
mist,339
'broken clouds',627
'light snow',5258
'few clouds',284
'sky is clear',482
'moderate rain',5266
haze,3580
'sky is clear',3226
'overcast clouds',407
thunderstorm,5922
'light rain',1892
'broken clouds',3068
'overcast clouds',6448
'few clouds',373
'broken clouds',2804
'moderate rain',3184
'sky is clear',5024
'overcast clouds',239
'proximity shower rain',5750
'proximity thunderstorm',4300
'overcast clouds',2963
snow,4262
'few clouds',4832
'proximity thunderstorm',310
'sky is clear',3949
'sky is clear',6725
'proximity thunderstorm',6300
'sky is clear',4548
'Sky is Clear',3156
'sky is clear',3115
'broken clouds',4732
'overcast clouds',4806
'overcast clouds',298
'light rain',844
'Sky is Clear',834
'few clouds',5521
'sky is clear',991
mist,315
'sky is clear',6139
'light rain',3602
'scattered clouds',2126
'scattered clouds',6396
'Sky is Clear',1241
'light rain',338
'overcast clouds',4909
'sky is clear',676
'overcast clouds',4806
'Sky is Clear',744
'sky is clear',5761
'moderate rain',2881
'broken clouds',327
'overcast clouds',449
'proximity thunderstorm',874
haze,386
'Sky is Clear',6266
fog,3567
'overcast clouds',3449
'overcast clouds',3122
fog,3302
'sky is clear',4409
'broken clouds',339
'scattered clouds',1356
mist,6238
'Sky is Clear',2634
'moderate rain',5718
haze,4140
mist,5402
mist,4804
'overcast clouds',6132
'light rain',5481
'few clouds',5343
'Sky is Clear',3216
'scattered clouds',4428
'heavy intensity rain',362
'scattered clouds',5627
'sky is clear',3971
'sky is clear',665
'sky is clear',5419
'sky is clear',3108
snow,1179
drizzle,4296
haze,4501
mist,6308
'overcast clouds',4352
'Sky is Clear',396
'heavy intensity rain',1356
'broken clouds',2822
'thunderstorm with light rain',2728
'few clouds',6715
'light snow',4566
'sky is clear',2992
'light intensity drizzle',990
'sky is clear',468
'scattered clouds',2764
'overcast clouds',899
'few clouds',5570
'scattered clouds',4400
'light rain',3736
drizzle,2381
mist,2783
'sky is clear',3256
'light rain',5537
'broken clouds',313
'scattered clouds',2823
'broken clouds',1703
mist,801
'overcast clouds',357
'Sky is Clear',779
mist,540
'overcast clouds',4696
'sky is clear',2197
'overcast clouds',6310
'sky is clear',5225
'light rain',4632
'light rain',3771
'broken clouds',1234
'sky is clear',1133
'overcast clouds',4438
'few clouds',3513
'light rain',5133
mist,3983
'sky is clear',329
'Sky is Clear',391
'scattered clouds',5526
'broken clouds',2398
'sky is clear',905
'sky is clear',263
'heavy snow',4958
'light snow',4241
'light rain',937
'sky is clear',4709
mist,979
'sky is clear',4126
'overcast clouds',1153
mist,536
'sky is clear',891
'sky is clear',5818
'light rain',4431
'overcast clouds',2090
'sky is clear',4551
'light snow',2584
'sky is clear',5917
'overcast clouds',3362
'broken clouds',5024
'light snow',653
'overcast clouds',268
'broken clouds',2544
'overcast clouds',2620
'light rain',421
'sky is clear',4544
'light rain',809
'overcast clouds',2634
'sky is clear',4288
'overcast clouds',5041
'overcast clouds',2741
'broken clouds',3473
'sky is clear',5035
'sky is clear',5409
'light rain',5873
'Sky is Clear',1737
'sky is clear',3801
'scattered clouds',370
'Sky is Clear',4703
'sky is clear',530
'sky is clear',4530
'heavy snow',1556
'sky is clear',6500
'broken clouds',522
'sky is clear',4946
'scattered clouds',1996
drizzle,3263
'sky is clear',5538
'scattered clouds',4637
'scattered clouds',5015
'sky is clear',2984
'broken clouds',5098
mist,432
'sky is clear',1946
'light snow',3433
'broken clouds',4067
'light intensity drizzle',3694
'sky is clear',2183
'sky is clear',909
'light snow',821
'broken clouds',6128
'sky is clear',4570
'light snow',5832
'light intensity drizzle',5196
'light snow',3289
'sky is clear',4932
'sky is clear',739
fog,523
'sky is clear',4769
'broken clouds',5466
'overcast clouds',1221
'few clouds',5694
'sky is clear',1400
'overcast clouds',459
mist,815
'light snow',1617
'overcast clouds',1194
'sky is clear',6448
'sky is clear',1405
mist,354
'scattered clouds',2964
'sky is clear',5217
'proximity thunderstorm',4144
'light intensity drizzle',5453
'sky is clear',2303
'broken clouds',261
'Sky is Clear',2008
mist,3117
haze,5162
'light snow',701
fog,2830
'overcast clouds',6040
'broken clouds',1158
'sky is clear',365
'broken clouds',4533
'light rain',1544
mist,2626
'light rain',113
mist,721
'sky is clear',1196
'light snow',4520
'light rain',1078
'sky is clear',5179
'broken clouds',1439
mist,4911
'sky is clear',2101
'light rain',4889
mist,4472
mist,4818
'broken clouds',4397
mist,1651
'sky is clear',4254
'scattered clouds',5072
'sky is clear',1116
'scattered clouds',5969
'light rain',4426
mist,4779
'sky is clear',5005
'moderate rain',343
'Sky is Clear',2375
mist,3853
'scattered clouds',4533
'broken clouds',3446
'sky is clear',4541
mist,357
'sky is clear',5771
haze,484
'heavy snow',5652
'broken clouds',5179
'light rain',3627
'light rain',384
'broken clouds',6103
'sky is clear',5992
'scattered clouds',4518
mist,5393
'light rain',2137
snow,3400
'heavy snow',4874
'moderate rain',3378
'heavy intensity drizzle',2056
'light rain',4572
smoke,2561
'sky is clear',5236
'Sky is Clear',5799
'proximity thunderstorm',5464
'proximity shower rain',1787
'sky is clear',994
'scattered clouds',4200
'sky is clear',11
'sky is clear',384
haze,304
'scattered clouds',5638
'scattered clouds',1486
'broken clouds',1499
'sky is clear',1308
haze,3951
'light rain',4858
'broken clouds',3251
'sky is clear',1248
'light intensity drizzle',4711
haze,3938
fog,1512
'sky is clear',1483
'sky is clear',3171
'sky is clear',449
'broken clouds',4348
'sky is clear',434
'proximity thunderstorm',5551
'heavy snow',5155
'heavy snow',5441
haze,1049
'sky is clear',3629
mist,2819
'sky is clear',487
'sky is clear',5615
haze,1664
'sky is clear',5850
'scattered clouds',393
'moderate rain',2240
haze,5855
'overcast clouds',4862
'sky is clear',6494
'proximity thunderstorm with drizzle',1167
'Sky is Clear',344
'light intensity drizzle',4070
'moderate rain',3460
'scattered clouds',3945
'sky is clear',2966
'sky is clear',4565
mist,975
'sky is clear',797
'sky is clear',1455
'broken clouds',5039
'broken clouds',4146
'scattered clouds',455
'scattered clouds',474
'sky is clear',4456
'sky is clear',2700
'light intensity drizzle',419
'sky is clear',4127
'moderate rain',5467
'thunderstorm with light drizzle',598
'sky is clear',1313
'scattered clouds',2016
'proximity thunderstorm',5655
'heavy snow',425
'sky is clear',906
'light rain',6031
'moderate rain',3319
'Sky is Clear',4982
'heavy snow',3923
'light rain',2087
'light rain',1264
'broken clouds',232
'sky is clear',2687
'light rain',5588
mist,695
'scattered clouds',6096
'scattered clouds',2783
'light intensity drizzle',3013
'proximity thunderstorm',698
'sky is clear',317
'light rain',3519
'sky is clear',2157
'sky is clear',4159
snow,619
'overcast clouds',5646
'light rain',277
'broken clouds',4664
'sky is clear',2711
'heavy intensity rain',4830
'overcast clouds',409
'overcast clouds',6470
'scattered clouds',4352
'heavy snow',6126
mist,871
'broken clouds',1451
haze,400
'scattered clouds',4446
'light intensity drizzle',5839
'moderate rain',4265
'broken clouds',312
'broken clouds',3464
mist,2614
'overcast clouds',538
'sky is clear',3487
'light snow',4725
'moderate rain',551
'overcast clouds',2907
'broken clouds',5398
'few clouds',5849
'light rain',5341
haze,793
'overcast clouds',3488
'few clouds',6039
'sky is clear',370
'sky is clear',5129
'moderate rain',333
mist,4429
mist,283
mist,274
'light rain',1785
'light snow',3901
'overcast clouds',978
'overcast clouds',395
'sky is clear',3935
'broken clouds',1174
drizzle,2835
'heavy snow',641
mist,6158
'overcast clouds',2318
'light rain',858
mist,1394
'light rain',5756
'Sky is Clear',3908
mist,4711
'Sky is Clear',5766
'overcast clouds',3191
'broken clouds',5147
mist,935
fog,5314
mist,4760
'broken clouds',5635
'sky is clear',534
'broken clouds',4833
'sky is clear',318
'sky is clear',4507
mist,4624
'sky is clear',515
mist,1372
mist,4061
'overcast clouds',4623
'light rain',4377
haze,6062
'Sky is Clear',6299
'sky is clear',6624
'light rain',4669
'light rain',2880
'light intensity drizzle',568
fog,335
mist,5288
'Sky is Clear',5123
'few clouds',2887
'sky is clear',866
'light rain',3684
'overcast clouds',3346
'scattered clouds',310
'overcast clouds',875
'sky is clear',3177
'sky is clear',4829
'sky is clear',4585
'sky is clear',986
haze,2322
'few clouds',5861
'scattered clouds',3897
'light snow',4021
'light rain',5403
mist,5381
'sky is clear',6275
'sky is clear',4318
mist,6710
'heavy intensity rain',1050
'sky is clear',6099
'sky is clear',872
'sky is clear',321
'overcast clouds',5187
'light rain',4910
mist,6318
'sky is clear',2654
'light rain',4321
mist,5656
'sky is clear',2916
'light rain',6459
'light rain',4871
'sky is clear',3482
'overcast clouds',5058
'sky is clear',4423
'broken clouds',4896
'broken clouds',4872
'light snow',346
mist,828
mist,428
'Sky is Clear',4245
mist,831
'broken clouds',6177
'overcast clouds',1663
'broken clouds',5829
'scattered clouds',5629
haze,1208
'light snow',3139
haze,369
'proximity thunderstorm with rain',2536
'light rain',826
'sky is clear',4019
haze,4037
'sky is clear',1003
'overcast clouds',1341
mist,1372
'light rain',2710
'few clouds',3659
'light rain',768
'light rain',839
'moderate rain',1629
'heavy snow',3866
'sky is clear',6045
'Sky is Clear',996
'overcast clouds',4453
'sky is clear',5032
'moderate rain',2435
'light intensity drizzle',2454
'light snow',797
fog,4895
'light rain',6016
'sky is clear',4621
haze,5452
'sky is clear',2431
mist,2987
'sky is clear',5542
'overcast clouds',6658
mist,5813
'broken clouds',2809
'light rain',7130
'light snow',4082
'sky is clear',5616
'overcast clouds',3605
'sky is clear',6775
'light snow',3983
'sky is clear',1371
'light intensity drizzle',859
'sky is clear',3616
mist,2002
'sky is clear',326
'light snow',6589
'sky is clear',3070
'broken clouds',3840
'sky is clear',3052
'Sky is Clear',4380
mist,2702
'broken clouds',5197
'scattered clouds',4232
'sky is clear',2805
mist,904
drizzle,318
'sky is clear',4161
'light rain',431
mist,2659
'few clouds',3892
'sky is clear',277
'scattered clouds',4603
'few clouds',3948
'scattered clouds',5827
'broken clouds',1311
mist,4371
'sky is clear',5658
'light snow',1009
'sky is clear',571
'overcast clouds',642
fog,5448
fog,1987
'few clouds',321
'sky is clear',2641
'sky is clear',3133
'light snow',4800
'proximity thunderstorm',3058
'light rain',1973
mist,342
mist,474
'broken clouds',193
'broken clouds',254
mist,894
'sky is clear',2807
'scattered clouds',5418
'heavy snow',3380
'overcast clouds',5016
'few clouds',3671
'overcast clouds',4434
'sky is clear',271
'overcast clouds',5169
'sky is clear',4632
'light rain',4718
mist,3085
'sky is clear',4884
'light rain',5029
'broken clouds',2759
haze,5923
'overcast clouds',5120
'moderate rain',3393
'sky is clear',4115
'proximity shower rain',4412
'light rain',6283
'sky is clear',2645
'broken clouds',371
mist,398
'heavy snow',4108
'sky is clear',1351
'moderate rain',4890
mist,3557
'sky is clear',1450
'scattered clouds',4238
'scattered clouds',4564
'overcast clouds',6022
'light snow',5954
'sky is clear',4887
'overcast clouds',4710
'sky is clear',645
'sky is clear',1632
'Sky is Clear',326
'overcast clouds',4755
'sky is clear',4808
'sky is clear',548
'broken clouds',5093
'moderate rain',4476
mist,904
'sky is clear',4520
'sky is clear',5014
'Sky is Clear',5712
mist,254
'light snow',388
'Sky is Clear',3145
'few clouds',4694
'sky is clear',4458
'sky is clear',5560
'overcast clouds',6312
mist,1370
'proximity thunderstorm',2431
'light rain',4165
'sky is clear',4043
'light snow',321
'sky is clear',5866
'sky is clear',3440
'Sky is Clear',5817
'scattered clouds',4706
mist,2367
'scattered clouds',2017
'heavy snow',736
'broken clouds',5294
'broken clouds',6060
'sky is clear',4987
'sky is clear',317
'proximity thunderstorm',1311
mist,3175
drizzle,2533
'few clouds',4770
'broken clouds',2734
'scattered clouds',4363
'sky is clear',2675
'sky is clear',389
'broken clouds',359
'light snow',4251
'heavy snow',6157
'moderate rain',617
'overcast clouds',393
'overcast clouds',2332
'light snow',4875
fog,644
'light snow',2000
'light snow',531
'few clouds',531
'broken clouds',6057
'sky is clear',3282
drizzle,522
'overcast clouds',5666
'sky is clear',271
haze,3648
'sky is clear',337
mist,893
drizzle,6031
'Sky is Clear',393
'overcast clouds',2017
'Sky is Clear',6593
'overcast clouds',4672
'proximity shower rain',4377
'broken clouds',2811
'sky is clear',2251
'heavy snow',4897
'light rain',5158
mist,5984
'light rain',5082
drizzle,5170
mist,4791
'moderate rain',4716
'sky is clear',5814
mist,830
'light snow',4752
'sky is clear',3426
'sky is clear',5581
'light intensity drizzle',3916
'sky is clear',3513
'sky is clear',1808
'scattered clouds',481
'broken clouds',3390
'freezing rain',4762
'sky is clear',865
'overcast clouds',2607
'light snow',5383
'sky is clear',2478
'sky is clear',3891
mist,3036
'sky is clear',354
mist,583
'light snow',4877
'sky is clear',5612
'sky is clear',347
'sky is clear',5463
'broken clouds',682
'sky is clear',3568
'broken clouds',3216
'sky is clear',3496
'heavy snow',781
'scattered clouds',812
mist,873
'overcast clouds',4429
'Sky is Clear',4597
'scattered clouds',4374
'sky is clear',4433
'sky is clear',1094
'light rain',4331
mist,573
drizzle,559
'scattered clouds',6295
'overcast clouds',902
'sky is clear',5232
'light snow',1194
'few clouds',314
'few clouds',3846
'light snow',733
'sky is clear',3260
'broken clouds',6242
'few clouds',371
'Sky is Clear',2844
'scattered clouds',1153
'sky is clear',243
'moderate rain',2404
'sky is clear',4889
'sky is clear',5602
'heavy snow',1512
'Sky is Clear',2375
'sky is clear',612
'overcast clouds',3860
'scattered clouds',1860
'sky is clear',433
haze,3289
'heavy intensity rain',5773
'overcast clouds',492
haze,4817
'light rain',2466
'sky is clear',4547
'few clouds',4694
'sky is clear',3095
'sky is clear',788
'scattered clouds',2732
'broken clouds',6038
'Sky is Clear',5255
'broken clouds',4355
'light intensity drizzle',1682
'sky is clear',1280
'broken clouds',4167
'sky is clear',6888
'broken clouds',839
'scattered clouds',4832
'light rain',6286
'overcast clouds',1491
fog,2976
'sky is clear',1392
'sky is clear',435
'sky is clear',2083
'broken clouds',6421
'overcast clouds',4559
'broken clouds',3706
'proximity thunderstorm',5213
'broken clouds',5492
'sky is clear',2784
mist,608
'scattered clouds',813
'overcast clouds',346
'overcast clouds',4660
'overcast clouds',5993
'proximity thunderstorm with rain',2649
'light rain',5984
'overcast clouds',1596
snow,1945
'light snow',1039
'sky is clear',5173
'scattered clouds',4865
'sky is clear',3654
'overcast clouds',1052
'sky is clear',5623
'overcast clouds',4066
'Sky is Clear',3556
'light rain',3110
'overcast clouds',3286
'few clouds',3282
'broken clouds',627
'overcast clouds',265
'sky is clear',4917
'sky is clear',4027
'sky is clear',4169
'sky is clear',3239
'Sky is Clear',6005
'light snow',3529
'moderate rain',2835
'sky is clear',2826
'overcast clouds',2497
'overcast clouds',4293
'sky is clear',5844
'scattered clouds',766
'light rain',4295
'sky is clear',5031
'broken clouds',5263
'broken clouds',4800
mist,585
'heavy snow',357
'broken clouds',6621
'broken clouds',1453
'scattered clouds',5149
'overcast clouds',3225
'broken clouds',6274
'sky is clear',4933
'overcast clouds',3654
mist,2241
'sky is clear',4732
'overcast clouds',3309
'overcast clouds',4000
'sky is clear',2982
'overcast clouds',4954
'broken clouds',3793
mist,6479
'light snow',4807
'overcast clouds',4578
'sky is clear',6745
'few clouds',4355
'sky is clear',3161
'moderate rain',2611
'overcast clouds',823
drizzle,6299
mist,359
'moderate rain',3045
'light intensity drizzle',857
'overcast clouds',3024
'overcast clouds',1812
mist,5652
'broken clouds',5075
mist,6088
'sky is clear',5794
mist,5556
'overcast clouds',5599
'sky is clear',4638
'scattered clouds',2938
'sky is clear',2603
haze,888
haze,5325
'light rain',5341
'scattered clouds',293
'sky is clear',1923
'sky is clear',1336
'heavy snow',586
mist,1617
'Sky is Clear',1766
'broken clouds',4470
'sky is clear',4899
haze,4273
'sky is clear',699
'light rain and snow',927
'scattered clouds',6395
'Sky is Clear',6401
mist,5553
'light rain',4686
'Sky is Clear',5180
'sky is clear',6635
'light rain',5717
'sky is clear',3338
'sky is clear',5776
'few clouds',433
mist,6219
'light rain',731
snow,5005
'sky is clear',389
'scattered clouds',6343
mist,770
mist,6111
'light rain',4585
'sky is clear',1681
'broken clouds',5441
'moderate rain',530
fog,486
haze,315
'broken clouds',4982
'sky is clear',3113
'light rain',5865
haze,4494
'light shower snow',3921
'sky is clear',4090
mist,377
'light rain',4074
'light snow',323
'sky is clear',888
'overcast clouds',466
'heavy intensity rain',2240
'light intensity drizzle',4238
'light snow',4041
'sky is clear',2505
'Sky is Clear',993
'few clouds',4246
mist,6219
'light rain',2464
'broken clouds',395
mist,5316
'broken clouds',4618
'light snow',346
mist,2389
'sky is clear',4498
'overcast clouds',2787
'broken clouds',4399
'light snow',2369
'scattered clouds',720
mist,2744
'overcast clouds',2251
'few clouds',3977
'light snow',1195
'sky is clear',604
'light rain',407
'light intensity drizzle',4940
mist,849
mist,687
'heavy intensity rain',5262
'sky is clear',1169
'broken clouds',4762
'sky is clear',340
'few clouds',2507
'scattered clouds',4473
mist,4462
'light rain',4309
'proximity thunderstorm',2623
'overcast clouds',5740
'Sky is Clear',316
mist,1659
'few clouds',1871
'sky is clear',4512
'sky is clear',4891
mist,5434
mist,355
'moderate rain',6136
'light rain',916
'overcast clouds',2460
'broken clouds',6010
'few clouds',3053
'light snow',308
mist,5023
'sky is clear',795
mist,1939
'broken clouds',6383
mist,4452
'sky is clear',4377
'sky is clear',5636
'sky is clear',1102
'light snow',6134
'sky is clear',3703
'broken clouds',793
'light intensity drizzle',277
'few clouds',4665
'Sky is Clear',304
mist,5266
'light intensity drizzle',4072
mist,2139
'sky is clear',294
'sky is clear',4986
'Sky is Clear',4089
'sky is clear',5728
'broken clouds',255
haze,5460
mist,256
'sky is clear',4023
'light snow',457
mist,778
'overcast clouds',5141
'sky is clear',2732
'thunderstorm with light rain',793
'sky is clear',4769
'shower drizzle',6686
'light intensity drizzle',5410
'overcast clouds',3540
'light intensity drizzle',363
'scattered clouds',5750
'sky is clear',1425
'light rain',6083
'light rain',4128
'sky is clear',854
haze,4329
'moderate rain',4811
'moderate rain',5204
'broken clouds',2979
'sky is clear',6519
'sky is clear',4609
'light snow',2687
'broken clouds',2178
'moderate rain',602
'sky is clear',585
'sky is clear',488
'sky is clear',1836
'light intensity drizzle',6539
'sky is clear',6432
mist,5782
mist,2559
snow,671
'overcast clouds',526
'light intensity drizzle',3132
'light rain',393
'light rain',4195
'broken clouds',4091
'sky is clear',5900
'scattered clouds',3022
'sky is clear',4908
'scattered clouds',1416
'sky is clear',5265
'sky is clear',1181
'few clouds',3618
drizzle,4371
'sky is clear',2705
'sky is clear',4081
'light snow',2663
mist,691
'broken clouds',3119
'broken clouds',282
haze,526
mist,893
'broken clouds',5526
'scattered clouds',5870
'sky is clear',4286
'sky is clear',4155
'Sky is Clear',4679
fog,5644
haze,4704
'sky is clear',2657
'broken clouds',5834
mist,832
'scattered clouds',2746
'sky is clear',2844
'sky is clear',373
'proximity thunderstorm',790
'overcast clouds',5589
'proximity thunderstorm',4864
'broken clouds',333
'overcast clouds',2099
'sky is clear',2873
'Sky is Clear',5660
mist,5
'few clouds',795
mist,344
'broken clouds',479
'moderate rain',5094
'sky is clear',368
'few clouds',2851
'few clouds',6257
'moderate rain',287
'sky is clear',2712
'overcast clouds',4567
'scattered clouds',4767
'overcast clouds',5174
'scattered clouds',1818
'light snow',1084
'few clouds',5920
'scattered clouds',6656
'overcast clouds',6421
'sky is clear',1030
'overcast clouds',2965
'overcast clouds',1566
drizzle,882
'scattered clouds',3914
'sky is clear',388
'broken clouds',6944
mist,1158
'overcast clouds',6453
mist,614
'broken clouds',4554
'sky is clear',601
'few clouds',3433
'light snow',4685
'scattered clouds',4998
'light snow',681
drizzle,357
'sky is clear',2251
mist,813
'scattered clouds',373
mist,242
'light rain',4801
'few clouds',3043
'broken clouds',3450
'moderate rain',3952
drizzle,5181
'sky is clear',6263
'scattered clouds',5245
'overcast clouds',5038
drizzle,3446
'sky is clear',1845
'sky is clear',2841
'scattered clouds',6070
'scattered clouds',6089
'scattered clouds',3282
'light rain',6347
'sky is clear',5986
'few clouds',6409
'light snow',831
'scattered clouds',5638
'overcast clouds',5518
'overcast clouds',476
'light snow',4732
'sky is clear',5263
'overcast clouds',5810
'sky is clear',270
'sky is clear',4653
'moderate rain',3701
'overcast clouds',1928
'sky is clear',5083
'scattered clouds',4808
'sky is clear',2827
mist,629
'few clouds',530
'light rain',6470
'scattered clouds',4049
'light rain',3419
'overcast clouds',2740
mist,1713
'sky is clear',2767
'sky is clear',2895
'broken clouds',467
mist,6717
'moderate rain',1762
haze,5406
mist,807
'Sky is Clear',2165
'few clouds',4817
'sky is clear',5426
mist,2486
'sky is clear',996
'sky is clear',914
'overcast clouds',6644
'overcast clouds',959
'light rain',4715
'few clouds',4442
'light intensity drizzle',4454
'broken clouds',2578
'overcast clouds',3404
'few clouds',910
'sky is clear',3313
'sky is clear',4959
'scattered clouds',3721
'overcast clouds',606
'broken clouds',2331
'broken clouds',524
'light snow',2564
'scattered clouds',1110
mist,914
haze,5001
mist,478
'overcast clouds',5814
'overcast clouds',2868
'light rain',383
'overcast clouds',2765
mist,3009
'overcast clouds',4680
'broken clouds',4320
'broken clouds',5518
mist,3691
'few clouds',4978
'Sky is Clear',442
drizzle,4260
'light intensity drizzle',3017
mist,276
drizzle,1412
'light rain',434
'few clouds',5177
'heavy snow',4760
mist,2827
haze,4667
'broken clouds',4161
'sky is clear',4591
'sky is clear',381
'broken clouds',4973
'sky is clear',6351
mist,6243
'sky is clear',5470
'scattered clouds',5922
drizzle,4865
'sky is clear',2449
'sky is clear',3294
'sky is clear',819
haze,5409
mist,5722
'scattered clouds',924
'sky is clear',467
mist,5631
'light rain',534
'overcast clouds',1377
'light snow',2314
'sky is clear',4568
'light rain',356
'sky is clear',6220
fog,425
haze,6595
mist,4518
'heavy snow',4095
'scattered clouds',4544
'sky is clear',4874
mist,2935
'few clouds',5105
'broken clouds',6306
'proximity shower rain',5826
mist,788
mist,5995
'overcast clouds',2311
mist,4295
'sky is clear',6123
'sky is clear',2711
mist,6506
'few clouds',4598
'few clouds',6533
'broken clouds',5282
mist,4140
'overcast clouds',3973
'light snow',1215
mist,255
'sky is clear',4620
mist,3010
'sky is clear',3534
'sky is clear',5025
thunderstorm,2880
'proximity thunderstorm',3039
'overcast clouds',2480
'light intensity drizzle',2500
'moderate rain',4693
'overcast clouds',3160
'sky is clear',414
'sky is clear',2547
'sky is clear',3362
'light intensity drizzle',5138
'overcast clouds',342
mist,5772
'broken clouds',4624
'light rain',5442
'broken clouds',4877
mist,339
'moderate rain',528
mist,4552
'overcast clouds',1078
'light rain',1156
'sky is clear',3106
'broken clouds',5695
'light rain',3243
'scattered clouds',4621
'broken clouds',5025
'sky is clear',561
'sky is clear',6237
'sky is clear',2825
'overcast clouds',2678
'moderate rain',2329
'overcast clouds',4487
'sky is clear',3023
mist,4347
'light rain',4079
haze,5690
'few clouds',4330
'scattered clouds',5795
'light snow',331
'sky is clear',949
'broken clouds',4714
mist,879
'light intensity drizzle',6670
'Sky is Clear',5193
mist,1867
mist,5908
drizzle,1797
mist,1299
'sky is clear',388
'sky is clear',249
'light snow',3651
'sky is clear',2283
'scattered clouds',6642
'light snow',4524
'proximity thunderstorm',357
'overcast clouds',3263
mist,4990
mist,1402
'light rain',2768
'sky is clear',5210
'few clouds',900
'sky is clear',932
'moderate rain',4449
'broken clouds',6476
drizzle,2615
'light snow',524
mist,5803
